,Movie title,rating,genre,year,date.x,location,score,votes,director,writer,star,country,budget,company,runtime,qtr,date.y,gross_income
1,Star Wars: Episode IX - The Rise of Skywalker,PG-13,Action,2019,12/20/2019,United States),6.5,394000,J.J. Abrams,Chris Terrio,Daisy Ridley,United States,2.75E+08,Walt Disney Pictures,141,2019.4,Dec 20,515202542
2,Frozen II,PG,Animation,2019,11/22/2019,United States),6.8,148000,Chris Buck,Jennifer Lee,Kristen Bell,United States,1.50E+08,Walt Disney Animation Studios,103,2019.4,Nov 22,477373578
3,Joker,R,Crime,2019,10/4/2019,United States),8.4,1000000,Todd Phillips,Todd Phillips,Joaquin Phoenix,United States,5.50E+07,Warner Bros.,122,2019.4,Oct 4,335451311
4,Jumanji: The Next Level,PG-13,Action,2019,12/13/2019,United States),6.6,204000,Jake Kasdan,Jake Kasdan,Dwayne Johnson,United States,1.25E+08,Columbia Pictures,123,2019.4,Dec 13,320314960
5,Coco,PG,Animation,2017,11/22/2017,United States),8.4,417000,Lee Unkrich,Lee Unkrich,Anthony Gonzalez,United States,1.75E+08,Walt Disney Pictures,105,2017.4,Nov 22,210460015
6,Bad Boys for Life,R,Action,2020,1/17/2020,United States),6.6,140000,Adil El Arbi,Peter Craig,Will Smith,United States,9.00E+07,Columbia Pictures,124,2020.1,Jan 17,206305244
7,Knives Out,PG-13,Comedy,2019,11/27/2019,United States),7.9,505000,Rian Johnson,Rian Johnson,Daniel Craig,United States,4.00E+07,Lionsgate,130,2019.4,Nov 27,165363234
8,1917,R,Drama,2019,1/10/2020,United States),8.3,473000,Sam Mendes,Sam Mendes,Dean-Charles Chapman,United States,9.50E+07,Dreamworks Pictures,119,2020.1,Dec 25,159227644
9,Sonic the Hedgehog,PG,Action,2020,2/14/2020,United States),6.5,102000,Jeff Fowler,Pat Casey,Ben Schwartz,United States,8.50E+07,Paramount Pictures,99,2020.1,Feb 14,148974665
10,Ford v Ferrari,PG-13,Action,2019,11/15/2019,United States),8.1,323000,James Mangold,Jez Butterworth,Matt Damon,United States,9.76E+07,Chernin Entertainment,152,2019.4,Nov 15,117624357
